disc
52%
36%
21%
66%
67%
13%
15%
90%
8%
67%
58%
65%
39%
22%
20%
31%
21%
45%
1%
50%
17%
22%
13%
16%
3%
2%
24%
20%
40%
44%
4%
18%
86%
66%
50%
12%
38%
89%
38%
72%
15%
48%
28%
62%
77%
35%
29%
81%
56%
50%
50%
64%
61%
53%
3%
63%
17%
3%
24%
23%
49%
37%
13%
42%
67%
1%
38%
19%
76%
56%
27%
36%
22%
21%
73%
11%
40%
45%
79%
22%
17%
45%
52%
52%
52%
15%
41%
81%
47%
40%
3%
38%
17%
60%
49%
49%
3%
29%
3%
3%
49%
46%
58%
3%
37%
78%
67%
72%
69%
36%
81%
48%
81%
50%
46%
56%
42%
7%
78%
55%
38%
41%
46%
23%
40%
42%
46%
74%
40%
3%
47%
42%
54%
20%
2%
25%
23%
3%
66%
53%
38%
5%
33%
58%
50%
53%
26%
92%
38%
59%
46%
81%
48%
63%
37%
24%
79%
55%
49%
61%
53%
42%
53%
30%
25%
3%
40%
11%
52%
64%
42%
42%
9%
44%
42%
47%
79%
31%
40%
36%
52%
43%
44%
36%
66%
52%
14%
67%
51%
51%
63%
43%
53%
45%
38%
36%
55%
48%
44%
65%
51%
76%
35%
43%
40%
27%
65%
80%
21%
3%
3%
46%
3%
47%
51%
48%
33%
31%
35%
36%
41%
13%
17%
4%
4%
40%
44%
22%
46%
37%
14%
38%
41%
46%
53%
37%
47%
54%
71%
42%
42%
35%
53%
38%
38%
42%
59%
43%
52%
57%
50%
35%
50%
50%
56%
53%
49%
40%
51%
56%
38%
58%
43%
52%
60%
40%
40%
35%
47%
50%
49%
42%
38%
55%
46%
55%
44%
55%
38%
34%
56%
44%
64%
49%
35%
39%
50%
42%
55%
17%
53%
48%
40%
45%
19%
40%
48%
46%
50%
72%
57%
53%
49%
40%
58%
51%
49%
60%
54%
51%
49%
22%
40%
46%
53%
54%
70%
60%
56%
84%
29%
55%
16%
21%
43%
56%
25%
50%
76%
60%
43%
66%
66%
34%
28%
49%
46%
71%
53%
55%
29%
56%
13%
47%
46%
36%
50%
55%
48%
75%
22%
30%
80%
54%
49%
44%
25%
35%
75%
83%
56%
44%
38%
26%
71%
58%
55%
50%
40%
14%
55%
23%
36%
47%
57%
55%
23%
13%
37%
49%
18%
60%
14%
50%
53%
28%
43%
50%
68%
29%
33%
70%
60%
15%
50%
55%
53%
59%
64%
38%
42%
29%
41%
51%
48%
21%
57%
41%
85%
27%
56%
65%
60%
60%
11%
39%
21%
60%
35%
22%
48%
35%
73%
6%
66%
50%
58%
60%
48%
58%
21%
23%
11%
50%
60%
40%
60%
58%
45%
50%
36%
12%
62%
56%
33%
